family_id,family,variation,alias,parents,children,description,parameters,upper_bound,lower_bound,domain
13.0,Strongly Connected Components,Maximum Strongly Connected Component,MaxSCC,Strongly Connected Components,,"maintain: a directed graph, under: edge insertions/deletions, answer: what is the size of the largest SCC?","$V$: number of vertices
$E$: number of edges",,,Combinatorics
13.0,Strongly Connected Components,Strong Connectivity (dynamic),,Strongly Connected Components,,"maintain: a directed graph, under edge insertions/deletions, answer: is the graph strongly connected?","$V$: number of vertices
$E$: number of edges",,,Combinatorics
13.0,Strongly Connected Components,2 Strong Components (dynamic),SC2,Strongly Connected Components,,"maintain: a directed graph, under: edge insertion/deletions, answer: are there more than 2 strongly connected components?","$V$: number of vertices
$E$: number of edges",,,Combinatorics
13.0,Strongly Connected Components,Connected Subgraph,ConnSub,Strongly Connected Components,,"Subgraph connectivity asks us to maintainan understanding of connectivity under vertex updates: updates can turn vertices on and off, and queries refer to the subgraph induced by ""on"" vertices. (For instance, this is closer to applications in networks of routers, where node faults may occur.)","$V$: number of vertices
$E$: number of edges",,,Combinatorics
13.0,Strongly Connected Components,Biconnected Components,,Strongly Connected Components,,,,,,
14.0,Minimum Spanning Tree (Mst),"Undirected, General MST",,,"Undirected, Dense MST; Undirected, Planar MST; Undirected, Integer Weights MST","A minimum spanning tree (MST) or minimum weight spanning tree is a subset of the edges of a connected; edge-weighted undirected graph that connects all the vertices together; without any cycles and with the minimum possible total edge weight. Here, there are no restrictions on edge weights or graph density.","$V$: number of vertices
$E$: number of edges
$U$: maximum edge weight",Unknown but matches lower bound,Unknown but matches upper bound,Combinatorics
14.0,Minimum Spanning Tree (Mst),"Undirected, Dense MST",,"Undirected, General MST",,"A minimum spanning tree (MST) or minimum weight spanning tree is a subset of the edges of a connected; edge-weighted undirected graph that connects all the vertices together; without any cycles and with the minimum possible total edge weight. Here, we assume that the graph is dense (i.e. $E = \Omega(V)$).","$V$: number of vertices
$E$: number of edges
$U$: maximum edge weight",O(E),Omega(E),Combinatorics
14.0,Minimum Spanning Tree (Mst),"Undirected, Planar MST",,"Undirected, General MST",,"A minimum spanning tree (MST) or minimum weight spanning tree is a subset of the edges of a connected; edge-weighted undirected graph that connects all the vertices together; without any cycles and with the minimum possible total edge weight. Here, we assume that the graph is planar.","$V$: number of vertices
$E$: number of edges
$U$: maximum edge weight",O(V),Omega(V),Combinatorics
14.0,Minimum Spanning Tree (Mst),"Undirected, Integer Weights MST",,"Undirected, General MST",,"A minimum spanning tree (MST) or minimum weight spanning tree is a subset of the edges of a connected; edge-weighted undirected graph that connects all the vertices together; without any cycles and with the minimum possible total edge weight. Here, we assume that the edges have integer weights, represented in binary.","$V$: number of vertices
$E$: number of edges
$U$: maximum edge weight",O(E),Omega(E),Combinatorics
14.0,Minimum Spanning Tree (Mst),"Directed (Optimum Branchings), General MST",,,"Directed (Optimum Branchings), Super Dense MST; Directed Spanning Forest","A minimum spanning tree (MST) or minimum weight spanning tree is a subset of the edges of a connected; edge-weighted undirected graph that connects all the vertices together; without any cycles and with the minimum possible total edge weight. Here, we're given a directed graph with a root, and we wish to find a spanning arborescence of minimum weight that is rooted at the root.","$V$: number of vertices
$E$: number of edges
$U$: maximum edge weight",O(E+VlogV),Omega(E),Combinatorics
