family,variation,algorithm,year,time_class,time_expr,time_encoding,space_class,space_expr,looked_at,approximate,heuristic,randomized,model,authors,title,paper_url,doi,description,remarks
Closest Pair Problem,Euclidean space in k dimensions,"Aaronson, Chia, Lin, Wang, Zhang",2020,,,,,,,,,,,"['Scott Aaronson', 'Nai-Hui Chia', 'Han-Hsuan Lin', 'Chunhao Wang', 'Ruizhe Zhang']",,"https://arxiv.org/pdf/1911.01973.pdf#:~:text=The%20closest%20pair%20problem%20is,d%20%3D%20O(1)).",,Quantum algorithm,
Longest Common Subsequence,Longest Common Subsequence,"Le Gall, Seddighin",2020,2.8,Õ(n^(5/6)),,,,1.0,,,,Quantum Computing,"['François Le Gall', 'Saeed Seddighin']",['Quantum Meets Fine-grained Complexity: Sublinear Time Quantum Algorithms for String Problems'],https://arxiv.org/pdf/2010.12122.pdf,10.48550/arXiv.2010.12122,Quantum algorithm,
Longest Common Subsequence,Longest Common Subsequence,"Akmal, Jin",2022,2.6,Õ(n^(2/3)),,,,1.0,,,,Quantum Computing,"['Shyan Akmal', 'Ce Jin']",['Near-Optimal Quantum Algorithms for String Problems'],https://epubs.siam.org/doi/10.1137/1.9781611977073.109,10.1137/1.9781611977073.109,Quantum algorithm,
Longest Common Subsequence,Non-repetitive strings,"Le Gall, Seddighin",2020,2.7,Õ(n^(3/4)),,,,1.0,,,,Quantum Computing,"['François Le Gall', 'Saeed Seddighin']",['Quantum Meets Fine-grained Complexity: Sublinear Time Quantum Algorithms for String Problems'],https://arxiv.org/pdf/2010.12122.pdf,10.48550/arXiv.2010.12122,Quantum algorithm,
The Vertex Cover Problem,The Vertex Cover Problem,"Wang, Liang, Bao, Wu",2023,8.0,O(n^2*2^(n/2)),,5.0,O(n^2),1.0,,,,Quantum Computing,"['Zhaocai Wang', 'Kun Liang', 'Xiaoguang Bao', 'Tunhua Wu']",['Quantum Speedup for Solving the Minimum Vertex Cover Problem Based on Grover Search Algorithm'],https://link.springer.com/article/10.1007/s11128-023-04010-4,10.1007/s11128-023-04010-4,Quantum algorithm,
Maximum Cardinality Matching,General Graphs MCM (Adjacency List Model),Dörn 1,2009,4.2,O(n*sqrt(m)*log^2(n)),,,,1.0,,,,Quantum Computing,['Sebastian Dörn'],['Quantum Algorithms for Matching Problems'],https://www.researchgate.net/publication/220543780_Quantum_Algorithms_for_Matching_Problems,10.1007/s00224-008-9118-x,Quantum algorithm,
Maximum Cardinality Matching,General Graphs MCM (Adjacency Matrix Model),Dörn 1,2009,5.5,O(n^2*log^2(n)),,,,1.0,,,,Quantum Computing,['Sebastian Dörn'],['Quantum Algorithms for Matching Problems'],https://www.researchgate.net/publication/220543780_Quantum_Algorithms_for_Matching_Problems,10.1007/s00224-008-9118-x,Quantum algorithm,
Maximum Cardinality Matching,General Graphs MCM (Adjacency List Model),"Ambainis, Spalek 2",2005,4.7,O(n^2*(sqrt(m/n)+log(n))*log(n)),,,,1.0,,,,Quantum Computing,"['Andris Ambainis', 'Robert Špalek']",['Quantum Algorithms for Matching and Network Flows'],https://arxiv.org/pdf/quant-ph/0508205,10.48550/arXiv.quant-ph/0508205,Quantum algorithm,
Maximum Cardinality Matching,General Graphs MCM (Adjacency Matrix Model),"Ambainis, Spalek 2",2005,5.6,O(n^(5/2)*log(n)),,,,1.0,,,,Quantum Computing,"['Andris Ambainis', 'Robert Špalek']",['Quantum Algorithms for Matching and Network Flows'],https://arxiv.org/pdf/quant-ph/0508205,10.48550/arXiv.quant-ph/0508205,Quantum algorithm,
Maximum Cardinality Matching,General Graphs MCM (Adjacency Matrix Model),"Kimmel, Witter",2021,4.8,O(n^(7/4)),,,,1.0,,,,Quantum Computing,"['Shelby Kimmel', 'R. Teal Witter']",['A Query-Efficient Quantum Algorithm for Maximum Matching on General Graphs'],https://arxiv.org/pdf/2010.02324,10.48550/arXiv.2010.02324,Quantum algorithm,
